  model_version        accuracy       precision          recall  f1_score_value   time_consumed
             v1         0.65625         0.65625             1.0        0.792453        0.195088
             v2        0.539062        0.539062             1.0        0.700508        0.284456
             v3          0.8125          0.8125             1.0        0.896552        0.353743
             v4             1.0             1.0             1.0             1.0          0.4285
             v5             1.0             1.0             1.0             1.0        0.529776
             v6          0.5625          0.5625             1.0            0.72        0.616951
             v7        0.632812        0.632812             1.0         0.77512        0.824078
             v8           0.875           0.875             1.0        0.933333        0.888302
             v9             1.0             1.0             1.0             1.0        1.039543
            v10        0.601562        0.601562             1.0         0.75122        1.059664
            v11           0.875           0.875             1.0        0.933333        1.129631
            v12          0.6875          0.6875             1.0        0.814815         1.35562
            v13         0.53125        0.517418         0.53125          0.4061        1.501653
            v14             0.8             0.8             1.0        0.888889        1.413828
            v15         0.78125         0.78125             1.0        0.877193        1.532383
            v16            0.75            0.75             1.0        0.857143        1.816073
            v17        0.484375        0.484375             1.0        0.652632        1.844926
            v18        0.703125        0.703125             1.0        0.825688        1.926674
            v19        0.632812        0.632812             1.0         0.77512        2.103343
            v20        0.984375        0.984375             1.0        0.992126        1.973438
            v21             0.5             0.5             1.0        0.666667        2.083839
            v22        0.609375        0.609375             1.0        0.757282        2.475153
            v23         0.84375         0.84375             1.0        0.915254        2.423861
            v24             1.0             1.0             1.0             1.0        2.369215
            v25        0.984375        0.984375             1.0        0.992126        2.640129
            v26        0.933333        0.933333             1.0        0.965517         2.52912
            v27             1.0             1.0             1.0             1.0         2.71679
            v28        0.705426        0.705426             1.0        0.827273        3.068351
            v29        0.921875        0.921875             1.0         0.95935        2.961727
            v30        0.726562        0.726562             1.0        0.841629         3.51803
            v31        0.727273        0.727273             1.0        0.842105        3.172632
            v32             1.0             1.0             1.0             1.0        3.425935
            v33        0.954545        0.954545             1.0        0.976744        3.619924
            v34        0.863636        0.863636             1.0        0.926829        3.629388
            v35        0.617188        0.617188             1.0        0.763285        4.105761
            v36          0.8125          0.8125             1.0        0.896552        4.169209
            v37        0.734375        0.734375             1.0        0.846847        4.065297
            v38         0.53125        0.465351         0.53125        0.430049        4.387312
            v39         0.90625         0.90625             1.0         0.95082        4.366397
            v40           0.625           0.625             1.0        0.769231        4.779715
            v41        0.921875        0.921875             1.0         0.95935        4.766269
            v42             1.0             1.0             1.0             1.0         4.63068
            v43         0.96875         0.96875             1.0        0.984127        4.756709
            v44        0.734375        0.734375             1.0        0.846847         5.50987
            v45        0.570312        0.570312             1.0        0.726368        5.375916
            v46        0.609375        0.609375             1.0        0.757282        4.988556
            v47        0.972222        0.972222             1.0        0.985915         5.82207
            v48             1.0             1.0             1.0             1.0        5.372217
            v49        0.973684        0.973684             1.0        0.986667        5.697592
            v50        0.546875        0.464329        0.546875        0.438314        6.129962
            v51             1.0             1.0             1.0             1.0         5.61437
            v52        0.820312        0.820312             1.0        0.901288        5.767229
            v53        0.546875        0.550522        0.546875        0.440541        6.164977
            v54             1.0             1.0             1.0             1.0        6.715025
            v55        0.555556         0.45122        0.555556        0.459893        6.263173
            v56        0.554688        0.555045        0.554688        0.449575        6.643479
            v57        0.795918        0.795918             1.0        0.886364        6.577543
            v58        0.742188        0.742188             1.0        0.852018        7.635801
            v59        0.924242        0.924242             1.0         0.96063        6.910677
            v60        0.734375        0.734375             1.0        0.846847        7.410733
            v61        0.515625        0.515625             1.0        0.680412        8.070732
            v62        0.706897        0.706897             1.0        0.828283        8.090207
            v63        0.664062        0.664062             1.0        0.798122        7.598499
            v64             1.0             1.0             1.0             1.0        7.474426
            v65        0.789062        0.789062             1.0        0.882096        7.716504
            v66          0.5625        0.588542          0.5625        0.454346        8.084703
            v67             1.0             1.0             1.0             1.0        8.747767
            v68          0.9375          0.9375             1.0        0.967742        7.950871
            v69        0.396825        0.363409        0.396825        0.289116        8.912896
            v70        0.984615        0.984615             1.0        0.992248        8.174978
            v71        0.939394        0.939394             1.0         0.96875        8.231846
            v72        0.530303        0.530303             1.0        0.693069         9.27906
            v73        0.609375        0.553936        0.609375        0.514134        8.987819
            v74           0.625           0.625             1.0        0.769231        8.393253
            v75        0.601562        0.601562             1.0         0.75122        8.923022
            v76        0.445946        0.445946             1.0        0.616822        9.212078
            v77        0.973333        0.973333             1.0        0.986486        9.030165
            v78        0.987013        0.987013             1.0        0.993464        9.053504
            v79        0.635135        0.635135             1.0         0.77686         9.30183
            v80        0.632911        0.632911             1.0        0.775194        9.355681
            v81           0.925           0.925             1.0        0.961039        9.616188
            v82             1.0             1.0             1.0             1.0        9.625657
            v83        0.554217        0.554217             1.0        0.713178        9.880222
            v84        0.457831         0.61755        0.457831        0.364808       10.173192
            v85        0.636364        0.636364             1.0        0.777778       10.343394
            v86         0.78022         0.78022             1.0        0.876543       10.587843
            v87         0.88172         0.88172             1.0        0.937143       11.567159
            v88        0.924731        0.924731             1.0        0.960894       11.178811
            v89             1.0             1.0             1.0             1.0       10.927332
            v90        0.956522        0.956522             1.0        0.977778       10.712917
            v91        0.978947        0.978947             1.0        0.989362       12.809679
            v92           0.875           0.875             1.0        0.933333       11.423253
            v93        0.794118        0.794118             1.0        0.885246       11.914385
            v94        0.851852        0.851852             1.0            0.92       12.265811
            v95        0.894231        0.894231             1.0        0.944162       11.511567
            v96        0.701923        0.701923             1.0        0.824859       13.876107
            v97        0.850467        0.850467             1.0        0.919192       12.093482
            v98        0.936364        0.936364             1.0        0.967136        12.24332
            v99        0.846847        0.846847             1.0        0.917073       12.300679
           v100        0.839286        0.839286             1.0        0.912621       12.369765
           v101        0.617391        0.617391             1.0        0.763441       12.692466
           v102        0.534483        0.534483             1.0        0.696629       13.465987
           v103        0.631148        0.631148             1.0        0.773869       13.711912
           v104         0.81746         0.81746             1.0        0.899563       13.046499
           v105        0.803279        0.803279             1.0        0.890909       13.425339
           v106        0.798387        0.798387             1.0        0.887892       16.089445
           v107        0.457364        0.457364             1.0         0.62766        14.28118
           v108        0.738806        0.738806             1.0        0.849785       14.241755
           v109        0.810606        0.810606             1.0        0.895397       14.083115
           v110        0.536765        0.536765             1.0        0.698565       14.568853
           v111        0.654676        0.654676             1.0        0.791304       14.702748
           v112        0.690647        0.690647             1.0        0.817021       14.485938
           v113        0.489209        0.489209             1.0        0.657005        14.84493
           v114        0.659722        0.659722             1.0        0.794979       14.949899
           v115        0.650685        0.650685             1.0        0.788382       18.640502
           v116        0.608108        0.608108             1.0        0.756303       16.220097
           v117           0.625           0.625             1.0        0.769231       16.292215
           v118        0.648485        0.648485             1.0        0.786765       17.719521
           v119         0.52439         0.52439             1.0           0.688       16.456325
           v120         0.64375         0.64375             1.0         0.78327       16.835873
           v121        0.604938        0.604938             1.0        0.753846       16.531715
           v122        0.515152        0.508761        0.515152        0.426567       17.125775
           v123        0.520958        0.520958             1.0        0.685039        17.06668
           v124        0.549708        0.549708             1.0        0.709434       21.653741
           v125        0.508671         0.44578        0.508671        0.411271       17.092705
           v126        0.613636        0.613636             1.0        0.760563       18.047914
           v127        0.524862        0.524862             1.0        0.688406       18.835883
           v128        0.548387        0.548387             1.0        0.708333       18.589175
           v129        0.591398        0.591398             1.0        0.743243       19.003282
           v130             0.5        0.507578        0.551724        0.457442       19.077769
           v131         0.57732         0.57732             1.0        0.732026       19.003031
           v132        0.487047        0.487047             1.0        0.655052       19.098562
           v133        0.553299        0.531909        0.556122        0.450051       19.556208
           v134         0.49505         0.49505             1.0        0.662252       19.843202
           v135        0.475728        0.475728             1.0        0.644737       20.406857
           v136         0.36019        0.261411        0.493506        0.314443       20.696278
           v137        0.427273        0.427273             1.0        0.598726       29.399857
           v138        0.485714        0.459752        0.558685        0.444712       21.858635
           v139        0.497835        0.497835             1.0         0.66474       22.640362
           v140        0.435345         0.55094           0.505        0.379537        21.30389
           v141        0.545852        0.545852             1.0        0.706215       27.615496
           v142        0.426724        0.426724             1.0        0.598187       21.507276
           v143        0.564103        0.564103             1.0        0.721311       20.903218
           v144        0.534483        0.534483             1.0        0.696629       21.887068
           v145        0.373444        0.373444             1.0        0.543807       22.375286
           v146         0.51004         0.51004             1.0        0.675532       22.871201
           v147        0.369048        0.369048             1.0         0.53913       23.152704
           v148        0.625483        0.625483             1.0        0.769596       22.663979
           v149        0.420849        0.420849             1.0        0.592391        24.68219
           v150        0.425455        0.425455             1.0        0.596939       24.392299
           v151        0.296167        0.369291        0.429293        0.271977       26.643029
